,linear_acc_x,linear_acc_y,linear_acc_z,pitch,roll,yaw
count,7349.0,7349.0,7349.0,7349.0,7349.0,7349.0
mean,0.12664537182899627,-0.21013519599617334,10.170436084108266,-0.7049376993157456,1.1703770376765659,-25.139315303477442
std,0.09635610885688722,0.13435108840506382,0.395376151374288,0.8083599172381463,0.8099225046105243,63.271199099492556
min,-1.0217567160725594,-3.0524009466171265,0.29329872131347656,-3.9040387993836156,-2.781553131465849,-117.82289900528187
25%,0.05746259354054928,-0.2508002817630768,10.05625295639038,-1.1075015135392274,0.9663401796935756,-62.14851160339805
50%,0.13527652248740196,-0.21518544107675552,10.165791511535645,-0.8843228412532395,1.1870728972047586,-27.80607112817719
75%,0.19303839653730392,-0.1705920696258545,10.289694786071777,-0.27111411381990114,1.34656987387731,51.94727008851542
max,1.5128823518753052,2.976083517074585,16.360976696014404,3.431565799633273,7.182369091544241,63.61625391727037
kurtosis,21.69854913687014,120.90961446418864,140.4736506373352,3.482903990076794,7.993767278685355,-1.0442678167151886
skew,0.3471822028709745,-0.7200068119729323,-5.768550273304319,0.8823174984177616,0.8152939061448068,-0.017545929519864823
